Temporada,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2012-2013,Semi-finals,Tue,2013-04-23,,Bayern Munichde,4–0,esBarcelona,,Fußball Arena München,Viktor Kassai,Match Report,Leg 1 of 2
2012-2013,Semi-finals,Wed,2013-04-24,,Dortmundde,4–1,esReal Madrid,,BVB Stadion Dortmund,Björn Kuipers,Match Report,Leg 1 of 2
2012-2013,Semi-finals,Tue,2013-04-30,,Real Madrides,2–0,deDortmund,,Estadio Santiago Bernabéu,Howard Webb,Match Report,Leg 2 of 2; Dortmund won
2012-2013,Semi-finals,Wed,2013-05-01,,Barcelonaes,0–3,deBayern Munich,,Camp Nou,Damir Skomina,Match Report,Leg 2 of 2; Bayern Munich won
2012-2013,,,,,,,,,,,,
2012-2013,Final,Sat,2013-05-25,,Dortmundde,1–2,deBayern Munich,,Wembley Stadium (Neutral Site),Nicola Rizzoli,Match Report,
2013-2014,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2013-2014,Round of 16,Tue,2014-02-18,,Manchester Cityeng,0–2,esBarcelona,,City of Manchester Stadium,Jonas Eriksson,Match Report,Leg 1 of 2
2013-2014,Round of 16,Tue,2014-02-18,,Leverkusende,0–4,frParis S-G,,BayArena,Viktor Kassai,Match Report,Leg 1 of 2
2013-2014,Round of 16,Wed,2014-02-19,,Milanit,0–1,esAtlético Madrid,,Stadio Giuseppe Meazza,Pedro Proença,Match Report,Leg 1 of 2
2013-2014,Round of 16,Wed,2014-02-19,,Arsenaleng,0–2,deBayern Munich,,Arsenal Stadium,Nicola Rizzoli,Match Report,Leg 1 of 2
2013-2014,Round of 16,Tue,2014-02-25,,Zenitru,2–4,deDortmund,,Stadion Petrovski,William Collum,Match Report,Leg 1 of 2
2013-2014,Round of 16,Tue,2014-02-25,,Olympiacosgr,2–0,engManchester Utd,,Stadio Georgios Karaiskakis,Gianluca Rocchi,Match Report,Leg 1 of 2
2013-2014,Round of 16,Wed,2014-02-26,,Schalke 04de,1–6,esReal Madrid,,Arena AufSchalke,Howard Webb,Match Report,Leg 1 of 2
2013-2014,Round of 16,Wed,2014-02-26,,Galatasaraytr,1–1,engChelsea,,Ali Sami Yen Spor Kompleksi,Velasco Carballo,Match Report,Leg 1 of 2
2013-2014,Round of 16,Tue,2014-03-11,,Atlético Madrides,4–1,itMilan,,Estadio Vicente Calderón,Mark Clattenburg,Match Report,Leg 2 of 2; Atlético Madrid won
2013-2014,Round of 16,Tue,2014-03-11,,Bayern Munichde,1–1,engArsenal,,Fußball Arena München,Svein Oddvar Moen,Match Report,Leg 2 of 2; Bayern Munich won
2013-2014,Round of 16,Wed,2014-03-12,,Barcelonaes,2–1,engManchester City,,Camp Nou,Stéphane Lannoy,Match Report,Leg 2 of 2; Barcelona won
2013-2014,Round of 16,Wed,2014-03-12,,Paris S-Gfr,2–1,deLeverkusen,,Parc des Princes,Ivan Bebek,Match Report,Leg 2 of 2; Paris S-G won
2013-2014,Round of 16,Tue,2014-03-18,,Real Madrides,3–1,deSchalke 04,,Estadio Santiago Bernabéu,Sergei Karasev,Match Report,Leg 2 of 2; Real Madrid won
2013-2014,Round of 16,Tue,2014-03-18,,Chelseaeng,2–0,trGalatasaray,,Stamford Bridge,Felix Brych,Match Report,Leg 2 of 2; Chelsea won
2013-2014,Round of 16,Wed,2014-03-19,,Manchester Utdeng,3–0,grOlympiacos,,Old Trafford,Björn Kuipers,Match Report,Leg 2 of 2; Manchester Utd won
2013-2014,Round of 16,Wed,2014-03-19,,Dortmundde,1–2,ruZenit,,BVB Stadion Dortmund,Undiano Mallenco,Match Report,Leg 2 of 2; Dortmund won
2013-2014,,,,,,,,,,,,
2013-2014,Quarter-finals,Tue,2014-04-01,,Manchester Utdeng,1–1,deBayern Munich,,Old Trafford,Velasco Carballo,Match Report,Leg 1 of 2
2013-2014,Quarter-finals,Tue,2014-04-01,,Barcelonaes,1–1,esAtlético Madrid,,Camp Nou,Felix Brych,Match Report,Leg 1 of 2
2013-2014,Quarter-finals,Wed,2014-04-02,,Paris S-Gfr,3–1,engChelsea,,Parc des Princes,Milorad Mažić,Match Report,Leg 1 of 2
2013-2014,Quarter-finals,Wed,2014-04-02,,Real Madrides,3–0,deDortmund,,Estadio Santiago Bernabéu,Mark Clattenburg,Match Report,Leg 1 of 2
2013-2014,Quarter-finals,Tue,2014-04-08,,Dortmundde,2–0,esReal Madrid,,BVB Stadion Dortmund,Damir Skomina,Match Report,Leg 2 of 2; Real Madrid won
2013-2014,Quarter-finals,Tue,2014-04-08,,Chelseaeng,2–0,frParis S-G,,Stamford Bridge,Pedro Proença,Match Report,Leg 2 of 2; Chelsea won
2013-2014,Quarter-finals,Wed,2014-04-09,,Bayern Munichde,3–1,engManchester Utd,,Fußball Arena München,Jonas Eriksson,Match Report,Leg 2 of 2; Bayern Munich won
2013-2014,Quarter-finals,Wed,2014-04-09,,Atlético Madrides,1–0,esBarcelona,,Estadio Vicente Calderón,Howard Webb,Match Report,Leg 2 of 2; Atlético Madrid won
2013-2014,,,,,,,,,,,,
2013-2014,Semi-finals,Tue,2014-04-22,,Atlético Madrides,0–0,engChelsea,,Estadio Vicente Calderón,Jonas Eriksson,Match Report,Leg 1 of 2
2013-2014,Semi-finals,Wed,2014-04-23,,Real Madrides,1–0,deBayern Munich,,Estadio Santiago Bernabéu,Howard Webb,Match Report,Leg 1 of 2
2013-2014,Semi-finals,Tue,2014-04-29,,Bayern Munichde,0–4,esReal Madrid,,Fußball Arena München,Pedro Proença,Match Report,Leg 2 of 2; Real Madrid won
2013-2014,Semi-finals,Wed,2014-04-30,,Chelseaeng,1–3,esAtlético Madrid,,Stamford Bridge,Nicola Rizzoli,Match Report,Leg 2 of 2; Atlético Madrid won
2013-2014,,,,,,,,,,,,
2013-2014,Final,Sat,2014-05-24,,Real Madrides,4–1,esAtlético Madrid,,Estádio do Sport Lisboa e Benfica (Neutral Site),Björn Kuipers,Match Report,Required Extra Time
2014-2015,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2014-2015,Round of 16,Tue,2015-02-17,20:45,Paris S-Gfr,1–1,engChelsea,"45,713",Parc des Princes,Cüneyt Çakιr,Match Report,Leg 1 of 2
2014-2015,Round of 16,Tue,2015-02-17,21:45,Shakhtarua,0–0,deBayern Munich,"34,915",L'viv Arena,Alberto Undiano,Match Report,Leg 1 of 2
2014-2015,Round of 16,Wed,2015-02-18,20:45,Baselch,1–1,ptPorto,"34,464",St. Jakob-Park,Mark Clattenburg,Match Report,Leg 1 of 2
2014-2015,Round of 16,Wed,2015-02-18,20:45,Schalke 04de,0–2,esReal Madrid,"54,400",Veltins-Arena,Martin Atkinson,Match Report,Leg 1 of 2
2014-2015,Round of 16,Tue,2015-02-24,19:45,Manchester Cityeng,1–2,esBarcelona,"45,550",Etihad Stadium,Felix Brych,Match Report,Leg 1 of 2
2014-2015,Round of 16,Tue,2015-02-24,20:45,Juventusit,2–1,deDortmund,"41,182",Allianz Stadium,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2014-2015,Round of 16,Wed,2015-02-25,19:45,Arsenaleng,1–3,frMonaco,"59,868",Emirates Stadium,Deniz Aytekin,Match Report,Leg 1 of 2
2014-2015,Round of 16,Wed,2015-02-25,20:45,Leverkusende,1–0,esAtlético Madrid,"26,230",BayArena,Pavel Královec,Match Report,Leg 1 of 2
2014-2015,Round of 16,Tue,2015-03-10,19:45,Portopt,4–0,chBasel,"43,108",Estádio Do Dragão,Jonas Eriksson,Match Report,Leg 2 of 2; Porto won
2014-2015,Round of 16,Tue,2015-03-10,20:45,Real Madrides,3–4,deSchalke 04,"69,986",Estadio Santiago Bernabéu,Damir Skomina,Match Report,Leg 2 of 2; Real Madrid won
2014-2015,Round of 16,Wed,2015-03-11,19:45,Chelseaeng,2–2,frParis S-G,"37,692",Stamford Bridge,Björn Kuipers,Match Report,Leg 2 of 2; Paris S-G won; Required Extra Time
2014-2015,Round of 16,Wed,2015-03-11,20:45,Bayern Munichde,7–0,uaShakhtar,"70,000",Allianz Arena,William Collum,Match Report,Leg 2 of 2; Bayern Munich won
2014-2015,Round of 16,Tue,2015-03-17,20:45,Monacofr,0–2,engArsenal,17,Stade Louis II.,Svein Oddvar Moen,Match Report,Leg 2 of 2; Monaco won
