Season,Round,Day,Date,Time,Home_Team,Score,Away_Team,Attendance,Venue,Referee,Match_Report,Notes
2019-2020,Round of 16,Wed,2020-02-19,21:00,Atalantait,4–1,esValencia,"44,236",Stadio Giuseppe Meazza,Michael Oliver,Match Report,Leg 1 of 2
2019-2020,Round of 16,Tue,2020-02-25,20:00,Chelseaeng,0–3,deBayern Munich,"36,761",Stamford Bridge,Clément Turpin,Match Report,Leg 1 of 2
2019-2020,Round of 16,Tue,2020-02-25,21:00,Napoliit,1–1,esBarcelona,"44,388",Stadio San Paolo,Felix Brych,Match Report,Leg 1 of 2
2019-2020,Round of 16,Wed,2020-02-26,21:00,Real Madrides,1–2,engManchester City,"75,615",Estadio Santiago Bernabéu,Daniele Orsato,Match Report,Leg 1 of 2
2019-2020,Round of 16,Wed,2020-02-26,21:00,Lyonfr,1–0,itJuventus,"57,335",Groupama Stadium,Jesús Gil,Match Report,Leg 1 of 2
2019-2020,Round of 16,Tue,2020-03-10,21:00,RB Leipzigde,3–0,engTottenham,"42,146",Red Bull Arena,Carlos del Cerro,Match Report,Leg 2 of 2; RB Leipzig won
2019-2020,Round of 16,Wed,2020-03-11,20:00,Liverpooleng,2–3,esAtlético Madrid,"52,267",Anfield,Danny Makkelie,Match Report,Leg 2 of 2; Atlético Madrid won; Required Extra Time
2020-2021,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2021-2022,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2021-2022,Round of 16,Tue,2022-02-15,20:00,Sporting CPpt,0–5,engManchester City,"48,129",Estádio José Alvalade,Srdjan Stojanovic,Match Report,Leg 1 of 2
2021-2022,Round of 16,Tue,2022-02-15,21:00,Paris S-Gfr,1–0,esReal Madrid,"47,443",Parc des Princes,Daniele Orsato,Match Report,Leg 1 of 2
2021-2022,Round of 16,Wed,2022-02-16,21:00,Interit,0–2,engLiverpool,"37,918",Stadio Giuseppe Meazza,Szymon Marciniak,Match Report,Leg 1 of 2
2021-2022,Round of 16,Wed,2022-02-16,21:00,RB Salzburgat,1–1,deBayern Munich,"29,520",Red Bull Arena,Michael Oliver,Match Report,Leg 1 of 2
2021-2022,Round of 16,Tue,2022-02-22,20:00,Chelseaeng,2–0,frLille,"38,832",Stamford Bridge,Jesús Gil,Match Report,Leg 1 of 2
2021-2022,Round of 16,Tue,2022-02-22,21:00,Villarreales,1–1,itJuventus,"17,686",Estadio de la Cerámica,Daniel Siebert,Match Report,Leg 1 of 2
